City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,tignere,7.3667,12.65,20.45,86,90,1.04,CM,1684449100
154,laguna de perlas,12.3429,-83.6712,31.05,75,6,3.92,NI,1684449101
155,saint-louis,16.3333,-15.0,33.8,24,51,7.35,SN,1684449102
156,port maria,18.3685,-76.8895,30.98,83,64,3.81,JM,1684449102
157,cherskiy,68.75,161.3,10.76,57,69,10.82,RU,1684449103
158,cobija,-11.0267,-68.7692,32.1,66,20,1.54,BO,1684449104
159,kodiak,57.79,-152.4072,8.73,61,100,7.2,US,1684449105
160,sechura,-5.5569,-80.8222,26.34,65,19,8.36,PE,1684449106
161,bredasdorp,-34.5322,20.0403,13.35,68,71,0.85,ZA,1684448994
162,naze,28.3667,129.4833,22.51,90,65,4.54,JP,1684448813
163,kahului,20.8947,-156.47,30.01,51,40,7.2,US,1684448898
164,berani,25.785,68.8069,29.66,62,20,4.1,PK,1684449107
165,dawlatabad,36.4141,64.9053,20.93,35,2,0.42,AF,1684449108
166,preeceville,51.95,-102.6677,11.69,47,97,4.57,CA,1684449109
167,buchanan,5.8808,-10.0467,26.28,86,62,1.83,LR,1684449109
168,bandarbeyla,9.4942,50.8122,27.54,87,35,5.37,SO,1684449109
169,saldanha,-33.0117,17.9442,10.03,80,23,5.25,ZA,1684449110
170,nouadhibou,20.931,-17.0347,20.99,64,93,9.77,MR,1684449096
171,yeppoon,-23.1333,150.7333,12.88,45,0,1.78,AU,1684449111
172,lakatoro,-16.0999,167.4164,27.93,70,26,3.08,VU,1684449112
173,buraydah,26.326,43.975,30.25,32,90,10.44,SA,1684449113
174,shimoda,34.6667,138.95,20.61,84,100,3.98,JP,1684449115
175,matriz de camaragibe,-9.1517,-35.5333,24.69,85,89,1.07,BR,1684449115
176,san andres,12.5847,-81.7006,30.01,79,75,3.09,CO,1684449116
177,cabo san lucas,22.8909,-109.9124,28.67,50,20,8.23,MX,1684449117
178,luganville,-15.5333,167.1667,27.64,76,40,3.19,VU,1684448992
179,divnogorsk,55.9594,92.3619,2.27,76,72,1.38,RU,1684449118
180,moron,-34.6534,-58.6198,18.86,64,0,0.38,AR,1684449118
181,bethel,41.3712,-73.414,16.14,45,0,5.66,US,1684449119
182,pasni,25.2631,63.471,27.07,88,0,2.33,PK,1684449119
183,kidal,18.4411,1.4078,34.01,14,41,1.67,ML,1684449120
184,cornedo vicentino,45.6131,11.3406,17.1,70,100,1.67,IT,1684449120
185,yenotayevka,47.2456,47.0281,16.32,67,44,4.05,RU,1684449121
186,gamboula,4.1178,15.1393,22.87,73,32,1.62,CF,1684449122
187,chubbuck,42.9208,-112.4661,24.14,32,20,3.13,US,1684449122
188,saint george,37.1041,-113.5841,31.33,22,100,9.26,US,1684448927
189,geraldton,-28.7667,114.6,18.23,34,75,6.69,AU,1684449123
190,santa cruz,-17.8,-63.1667,26.03,78,40,3.09,BO,1684449124
191,livingston,55.9029,-3.5226,12.37,84,100,4.12,GB,1684448847
192,sao filipe,14.8961,-24.4956,23.91,76,86,3.31,CV,1684449125
193,yerbogachen,61.2767,108.0108,3.78,66,7,2.65,RU,1684449126
194,tommot,58.9564,126.2925,7.55,68,98,1.17,RU,1684449126
195,sinnamary,5.3833,-52.95,26.01,89,89,3.93,GF,1684449127
196,mar del plata,-38.0023,-57.5575,15.05,90,20,2.06,AR,1684449127
197,laguna,38.421,-121.4238,34.08,38,0,3.09,US,1684449128
198,ostrovnoy,68.0531,39.5131,1.71,93,100,7.84,RU,1684449128
199,cidreira,-30.1811,-50.2056,18.76,84,26,5.47,BR,1684448926
200,te anau,-45.4167,167.7167,6.03,90,100,0.34,NZ,1684449134
201,shakawe,-18.3667,21.85,19.42,39,80,0.38,BW,1684449135
202,constitucion,-35.3333,-72.4167,12.89,79,100,5.23,CL,1684449136
203,comitancillo,15.0833,-91.7167,23.93,71,90,0.91,GT,1684449137
204,kaitangata,-46.2817,169.8464,10.41,91,100,0.84,NZ,1684449137
205,samur,41.8253,48.486,15.74,61,81,2.47,RU,1684449138
206,terrace bay,48.7834,-87.1,4.68,95,100,2.5,CA,1684449138
207,san policarpo,12.1791,125.5072,25.85,89,100,1.99,PH,1684449139
208,poum,-20.2333,164.0167,23.71,58,83,7.76,NC,1684449139
209,caravelas,-17.7125,-39.2481,23.64,61,70,4.08,BR,1684449140
210,road town,18.4167,-64.6167,29.05,70,40,3.09,VG,1684449021
211,arak,34.0917,49.6892,15.38,36,5,1.4,IR,1684449141
212,loralai,30.3705,68.598,21.89,28,0,3.57,PK,1684449142
213,tuktoyaktuk,69.4541,-133.0374,0.0,80,100,5.66,CA,1684449142
214,qostanay,53.1667,63.5833,8.16,87,100,6.0,KZ,1684449142
215,siva,29.2041,25.5195,22.45,27,0,4.97,EG,1684449143
216,porto novo,6.4965,2.6036,25.9,87,91,2.61,BJ,1684449143
217,rehau,50.25,12.0333,8.38,66,100,2.06,DE,1684449144
218,grindavik,63.8424,-22.4338,8.26,93,100,12.35,IS,1684448961
219,faya,18.3851,42.4509,17.29,64,28,0.37,SA,1684449145
220,seoul,37.5683,126.9778,18.78,80,0,2.57,KR,1684449007
221,paamiut,61.994,-49.6678,1.08,87,100,8.03,GL,1684449146
222,sri aman,1.2376,111.4621,25.03,94,96,2.06,MY,1684449146
223,payo,-3.7508,103.6372,22.75,98,95,0.76,ID,1684449147
224,dhidhdhoo,6.8833,73.1,28.32,76,5,1.33,MV,1684449148
225,doha,25.2867,51.5333,31.17,42,0,5.14,QA,1684448952
226,dwarka,22.2394,68.9678,27.45,82,9,4.06,IN,1684449149
227,comodoro rivadavia,-45.8667,-67.5,15.92,27,20,11.32,AR,1684449149
228,san patricio,28.017,-97.5169,31.4,56,56,5.6,US,1684449050
229,bambanglipuro,-7.95,110.2833,23.16,88,46,1.45,ID,1684449150
230,porto velho,-8.7619,-63.9039,26.03,83,20,1.54,BR,1684449151
231,imeni poliny osipenko,52.4201,136.4853,8.65,69,97,4.1,RU,1684449152
232,namibe,-15.1961,12.1522,20.28,65,69,3.67,AO,1684449152
233,aswan,24.0934,32.907,28.61,20,0,5.14,EG,1684449153
234,van,38.4924,43.3831,17.64,32,75,5.66,TR,1684449154
235,yar-sale,66.8333,70.8333,5.45,82,96,6.55,RU,1684449154
236,le port,-20.9373,55.2919,24.0,96,1,2.67,RE,1684449024
237,pangody,65.85,74.4859,6.41,77,100,6.9,RU,1684449156
238,drezdenko,52.8383,15.8308,7.44,85,65,2.54,PL,1684449156
239,quthing,-30.4,27.7003,8.69,76,100,2.32,LS,1684449157
240,shingu,33.7333,135.9833,19.0,89,100,3.51,JP,1684448988
241,myshkin,57.7897,38.4545,8.94,93,100,4.26,RU,1684449158
242,ribeira grande,38.5167,-28.7,18.21,85,19,4.47,PT,1684448975
243,agnibilekrou,7.1344,-3.2047,21.75,99,100,0.83,CI,1684449159
244,qaanaaq,77.484,-69.3632,-1.75,91,98,1.59,GL,1684449159
245,syracuse,37.0881,15.2792,16.65,80,27,1.4,IT,1684448977
246,tiarei,-17.5333,-149.3333,30.0,82,84,7.42,PF,1684449161
247,serebryansk,49.6925,83.2892,6.13,46,100,1.09,KZ,1684449161
248,savinskiy,62.9342,40.1361,4.94,85,28,2.09,RU,1684449162
249,semporna,4.4818,118.6112,26.7,83,97,2.15,MY,1684449162
